City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,coahuayana de hidalgo,18.7,-103.6583,76.37,90,19,2.06,MX,1732331642
259,kavaratti,10.5669,72.642,81.23,77,99,9.51,IN,1732331643
260,torun,53.0137,18.5981,33.15,91,83,1.99,PL,1732331645
261,mil'kovo,55.6078,37.7956,33.31,63,100,17.18,RU,1732331646
262,kodar,16.9833,79.9667,71.1,69,33,4.12,IN,1732331647
263,gdov,58.7406,27.8122,31.53,69,25,16.58,RU,1732331648
264,beberibe,-4.1797,-38.1306,77.9,79,70,9.26,BR,1732331650
265,eyl,7.9803,49.8164,75.56,74,40,10.54,SO,1732331651
266,rongelap,11.1635,166.8941,83.17,76,16,19.46,MH,1732331652
267,al wajh,26.2455,36.4525,66.15,48,0,4.61,SA,1732331654
268,labrador city,52.9463,-66.9114,22.17,82,100,11.01,CA,1732331655
269,kirakira,-10.4544,161.9205,85.26,71,52,7.11,SB,1732331656
270,svetlyy,54.675,20.1347,37.06,75,96,29.48,RU,1732331657
271,nago,26.5881,127.9761,71.83,57,4,10.78,JP,1732331660
272,saddiqabad,28.3062,70.1307,71.08,31,0,6.93,PK,1732331662
273,remire-montjoly,4.9167,-52.2667,77.04,94,0,0.0,GF,1732331663
274,villa regina,-39.1,-67.0667,73.98,20,98,1.99,AR,1732331665
275,konotop,51.2403,33.2026,40.5,98,100,12.86,UA,1732331666
276,marang,5.2056,103.2059,81.93,88,100,1.48,MY,1732331624
277,tateyama,34.9833,139.8667,57.07,48,27,21.5,JP,1732331668
278,waingapu,-9.6567,120.2641,90.01,57,85,14.7,ID,1732331669
279,meulaboh,4.1363,96.1285,77.67,90,100,9.04,ID,1732331671
280,kuta,-8.7233,115.1723,89.55,74,20,6.91,ID,1732331672
281,vilhena,-12.7406,-60.1458,69.17,99,100,0.56,BR,1732331673
282,suva,-18.1416,178.4415,83.68,74,75,11.5,FJ,1732331480
283,fale old settlement,-9.3852,-171.2468,84.0,71,89,17.05,TK,1732331675
284,daru,-9.0763,143.2092,85.46,73,90,12.28,PG,1732331677
285,kenora,49.8167,-94.4337,25.77,93,100,8.05,CA,1732331678
286,roma,43.2128,-75.4557,34.36,97,20,1.01,US,1732331561
287,maardu,59.4767,25.025,28.4,73,40,10.36,EE,1732331680
288,nova vicosa,-17.8919,-39.3719,75.38,93,100,10.11,BR,1732331620
289,hammerfest,70.6634,23.6821,36.05,87,75,3.44,NO,1732331683
290,bouca,6.5105,18.2733,66.78,48,8,3.51,CF,1732331684
291,new norfolk,-42.7826,147.0587,78.93,35,100,0.94,AU,1732331685
292,chignahuapan,19.8333,-98.0333,43.2,93,66,1.19,MX,1732331686
293,palasa,18.7667,84.4167,75.16,64,35,4.7,IN,1732331687
294,najera,42.4244,-2.734,43.41,73,100,4.7,ES,1732331689
295,hedaru,-4.5,37.9,73.02,86,99,3.04,TZ,1732331690
296,noumea,-22.2763,166.4572,84.0,99,100,17.72,NC,1732331691
297,sao jose da coroa grande,-8.8978,-35.1478,76.71,83,35,12.35,BR,1732331692
298,turkmenbasy,40.0222,52.9552,43.57,75,0,6.91,TM,1732331693
299,choibalsan,48.0667,114.5,32.5,48,8,7.85,MN,1732331695
300,aioun,16.6614,-9.6149,73.42,14,91,8.81,MR,1732331696
301,torquay,50.4638,-3.5143,44.74,83,100,27.78,GB,1732331697
302,walvis bay,-22.9575,14.5053,58.21,92,0,9.1,NA,1732331453
303,lerwick,60.1545,-1.1494,35.08,62,8,1.81,GB,1732331701
304,worland,44.0169,-107.9554,36.05,60,0,0.0,US,1732331702
305,poronaysk,49.2167,143.1167,27.79,46,100,21.77,RU,1732331703
306,pacific grove,36.6177,-121.9166,62.71,92,100,15.01,US,1732331704
307,gora kalwaria,51.9765,21.2154,32.38,93,67,8.99,PL,1732331706
308,noosa heads,-26.3833,153.15,74.25,63,1,12.73,AU,1732331707
309,laojunmiao,39.8333,97.7333,31.19,41,100,2.51,CN,1732331708
310,abra pampa,-22.7205,-65.697,51.93,74,100,6.6,AR,1732331709
311,bathsheba,13.2167,-59.5167,83.01,89,40,16.11,BB,1732331711
312,sawai madhopur,25.9833,76.3667,66.29,35,0,3.0,IN,1732331712
313,argostolion,38.1811,20.489,60.19,72,89,20.67,GR,1732331713
314,okhotsk,59.3833,143.3,8.13,65,74,15.73,RU,1732331714
315,maumere,-8.6199,122.2111,88.34,61,90,1.79,ID,1732331717
316,pangoa,-12.1167,-73.0,67.32,96,24,3.18,PE,1732331718
317,plastun,44.7561,136.2939,31.48,42,0,9.75,RU,1732331719
318,sergeyevka,53.88,67.4158,18.95,86,5,10.13,KZ,1732331720
319,udalguri,26.7667,92.1333,67.73,59,16,5.57,IN,1732331566
320,eydhafushi,5.1033,73.0708,79.83,80,98,5.46,MV,1732331723
321,maputo,-25.9653,32.5892,74.12,85,83,5.82,MZ,1732331700
322,ostersund,63.1792,14.6357,19.85,79,86,16.11,SE,1732331510
323,salo,45.6086,10.531,35.69,52,1,6.31,IT,1732331726
324,boa vista,2.8197,-60.6733,84.18,65,20,6.91,BR,1732331726
325,nuuk,64.1835,-51.7216,25.41,50,13,20.71,GL,1732331729
326,zouerate,22.7187,-12.4521,75.09,18,35,4.21,MR,1732331730
327,puerto baquerizo moreno,-0.9,-89.6,72.19,75,30,12.86,EC,1732331731
328,langepas,61.2544,75.2124,18.9,94,100,11.32,RU,1732331732
329,fort st. john,56.2499,-120.8529,-0.51,85,100,8.05,CA,1732331735
330,pudozh,61.8099,36.5345,30.16,96,100,12.57,RU,1732331736
331,wotho,10.1657,166.0102,83.32,79,55,19.42,MH,1732331737
332,jogeva,58.7467,26.3939,28.15,79,90,8.61,EE,1732331738
333,hola,51.5377,23.1902,27.52,87,100,7.07,PL,1732331740
334,enriquillo,17.9,-71.2333,73.65,76,98,4.09,DO,1732331741
335,uruacu,-14.5247,-49.1408,72.39,91,93,2.71,BR,1732331742
336,lihue,21.9789,-159.3672,76.59,63,0,9.22,US,1732331743
337,atamyrat,37.8357,65.2106,51.82,63,0,6.85,TM,1732331746
338,cortland,42.6001,-76.083,35.73,95,100,0.0,US,1732331701
339,naliya,23.2667,68.8333,74.16,58,8,3.76,IN,1732331748
340,taulaga,-11.0553,-171.0883,83.48,75,99,9.64,AS,1732331749
341,turaif,31.6725,38.6637,50.25,66,0,9.22,SA,1732331751
342,bel ombre,-4.6167,55.4167,82.24,74,40,3.44,SC,1732331752
343,atlanta,33.749,-84.388,43.74,66,0,6.91,US,1732331547
344,qarqaraly,49.4058,75.4742,7.74,94,40,3.4,KZ,1732331754
345,luwuk,-0.9516,122.7875,82.42,74,100,3.06,ID,1732331755
346,delijan,33.9905,50.6838,48.54,30,16,1.03,IR,1732331757
347,esmeralda,21.8525,-78.1169,64.83,69,88,6.53,CU,1732331758
348,cidreira,-30.1811,-50.2056,66.56,88,100,18.9,BR,1732331473
349,kununurra,-15.7667,128.7333,98.58,41,40,4.61,AU,1732331503
350,nuku'alofa,-21.1333,-175.2,80.94,69,20,11.5,TO,1732331761
351,ischia porto,40.7333,13.95,54.66,76,35,17.0,IT,1732331763
352,primero de mayo,-32.2552,-58.4228,66.81,81,0,11.65,AR,1732331764
353,barah,13.7,30.3667,65.48,23,0,9.91,SD,1732331765
354,coxen hole,16.3244,-86.5366,76.28,65,20,5.75,HN,1732331548
355,smithers,54.7804,-127.1743,23.32,80,20,0.0,CA,1732331767
356,bardai,11.65,7.2333,62.29,21,83,9.17,NG,1732331769
357,bayji,34.9311,43.487,59.7,61,5,9.01,IQ,1732331770
358,bafoulabe,13.8065,-10.8321,73.76,17,92,3.09,ML,1732331771
359,itaituba,-4.2761,-55.9836,79.07,70,96,2.33,BR,1732331772
360,sirte,31.2089,16.5887,67.91,50,0,7.63,LY,1732331773
361,larbaa,36.5647,3.1543,56.25,94,75,1.14,DZ,1732331775
362,vorgashor,67.5833,63.95,18.63,95,92,15.14,RU,1732331776
